Cargo,Local,Empresa,Descrição,Rating
CIENTISTA DE DADOS,"São Paulo, SP",Centro de Excelência Votorantim BR,"
Buscamos por cientistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.
Banco de Dados e SQL;
Postado há 18 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Tech Sicredi,"
Gerar insights através de estudos (Analytics), visando melhorar o relacionamento com o associado e atendimento das suas necessidades (visão centrada no…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS NA JUVO (1467),Home office,Keep Simple,"
Se sentir confortável em ambientes de computação Unix e utilizar seus truques favoritos BASH;
Ser familiarizado com estruturas de computação distribuídas, como:…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Brivia,"
Seja qual for o seu gênero, orientação sexual, idade, raça, etnia, crença ou deficiência, todos são bem-vindos no nosso time.
No dress code, seja 100% você;
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,Home office,CashMe,"
Corresponsável pela criação e sustentação de rotinas de Data Quality (estatística descritiva, tratamento de NA, balanceamento de dados, tratamento de outliers).
Postado há 30 dias·",Sem informacao
CIENTISTA DE DADOS SÊNIOR,"Uberlândia, MG",Obuc Gestão de Dados,"
Responsável pelo desenvolvimento de Reports, Dashboards e Smart Centers para os clientes.
UX, design de telas com foco em user centricity.
PostedRecém publicada·",Sem informacao
CIENTISTA DE DADOS PLENO - POLÍTICAS DE FRAUDE,Home office,Open Co,"
Experiência com visualização de dados como Quicksight, Metabase, Redash, Tableau;
Linguagem de programação e ferramentas para o desenvolvimento de análises,…
Postado há 10 dias·",Sem informacao
CIENTISTA DE DADOS JR.,"Campinas, SP",Kumulus,"
Garantir que o projeto seja implementado dentro da arquitetura proposta;
Trabalhar inovações para a área.
Experiência com frameworks e bibliotecas NLP / ML;
Postado há 13 dias·",Sem informacao
CIENTISTA DE DADOS SENIOR (REMOTO),Home office,Vem ser CASSI,"
Infraestruturas de dados (bancos de dados relacionais, não relacionais, etc.) e Big Data;
Conhecimento em tecnologias para Inteligência Artificial, utilizando…
Postado há 12 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,A3Data,"
Realizar análise exploratória dos dados;
Possuímos conhecimento nas mais variadas tecnologias, o que nos permite moldar soluções abrangentes e flexíveis.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS PLENO,Home office,Órama,"
Explorar dados sem definição prévia, com o objetivo de gerar insights para problemas não tratados anteriormente ou para a otimização de processos de negócio.
Postado há 13 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Cielo,"
Construir e gerenciar análises de múltiplas bases de dados de grande volume (transações dos clientes, gestores comerciais da Cielo, base de clientes da Cielo,…
Postado há 20 dias·","4,2"
CIENTISTA DE DADOS PLENO,Home office,Mobills,"
Graduação completa em Engenharias, Ciência da Computação, Física, Matemática, Estatística, Economia e correlatas;
Postado há 6 dias·",Sem informacao
CIENTISTA DE DADOS,Home office,PicPay,"
Conduzir, criar e acompanhar os modelos preditivos (modelagem supervisionada, semi-supervisionada e não-supervisionada);
Postado há 30+ dias·","4,6"
CIENTISTA DE DADOS,"São Paulo, SP",Keyrus Brazil,"
Desempenhar papel de liderança no time.
Conhecimento em Python e Azure.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,Home office,Oi,"
Conhecimento em visualização de dados, machine learning, deep learning, reconhecimento de padrões e preparação de dados;
Cursos e certificações em Data Science;
Postado há 30+ dias·","4,0"
CIENTISTA DE DADOS,"Home office in São Paulo, SP",Captalys,"
O time de Pricing é responsável por gerir a rentabilidade da operação através do equilíbrio dos interesses entre os times comerciais e investimentos, baseando…
Postado há 19 dias·","3,0"
CIENTISTA DE DADOS (DATA SCIENCE),Home office,Tem talento? Me mostre o que tem.,"
Estamos em busca de um novo integrante para compor o nosso time de dados.
Apresentação de resultados de análises aos usuários em relatórios ou dashboards.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS - POLÍTICAS DE COBRANÇA,Home office,Open Co,"
Facilidade com programação para análise de dados (Ex: Python, SQL, SAS);
Indicadores para gestão da carteira em cobrança (Rolagem, Eficiência, FPD, Perda…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS NLP,Home office,Indra,"
Plano de Saúde subsidiado pela empresa para o titular.
Gympass (Acesso a mais de 700 academias em todo o Brasil com planos a partir de R$ 29,90 descontado em…
Postado há 30+ dias·","3,8"
CIENTISTA DE DADOS,Home office,Kenlo,"
Coletar, limpar, armazenar, organizar, integrar dados e contribuir na criação de pipelines de dados com nosso time de engenheiros;
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS JR.,"São Paulo, SP",Sua Musica,"
Vem fazer parte do nosso time de BI.
Básico de programação (Python e SQL);
Graduação completa ou em curso (Engenharias, Ciência da computação, Física,…
Postado há 23 dias·",Sem informacao
CIENTISTA DE DADOS EM PRICING,Home office,Cielo,"
Mapear a necessidade do time de negócios, avaliando a necessidades dos dados;
O profissional nesta área, atuará no time do Motor de Precificação, contribuindo…
Postado há 30+ dias·","4,2"
CIENTISTA DE DADOS II,Home office,Martins,"
Produzir análises detalhadas sobre comportamento de usuários, modelos estatísticos, fontes de dados, etc.;
Essa vaga é para você que quer fazer parte de um time…
Postado há 30+ dias·","3,5"
CIENTISTA DE DADOS JUNIOR (REMOTE),"Home office in São Paulo, SP",AMARO,"
Ter formação acadêmica em uma ciência quantitativa/campo matemático.
Ter experiência com Machine Learning e/ou modelos estatísticos.
Postado há 30+ dias·","3,9"
CIENTISTA DE DADOS INTERNACIONAL - PLENO (REMOTO),"Home office in Florianópolis, SC",Bix,"
Familiaridade em criar notebooks e limpar dados;
Realizar consulta em banco de dados utilizando linguagem SQL dentro da estrurtura utilizada pelo cliente;
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Accenture,"
Experiência com manipulação de grandes bancos de dados ;
Aplicar a aprendizagem machine-learning, estatística e engenharia para resolver problemas;
Postado há 30+ dias·","4,0"
"CIENTISTA DE DADOS SÊNIOR (ML, R E PYTHON)",Home office,Turing.com,"
Trabalhe para empresas dos EUA do conforto da sua casa e ganhe em dólar.*.
Criar sistemas algorítmicos que permitam que alunos e professores sejam mais…
EmployerAtiva 5 dias atrás·",Sem informacao
CIENTISTA DE DADOS,"Campinas, SP","Amyris, Inc.","
Líderes em biologia sintética, começamos em 2003 com uma bolsa da Fundação Bill & Melinda Gates para criar uma molécula para tratar a malária.
Postado há 6 dias·","3,4"
CIENTISTA DE DADOS - DATA SCIENCE,Hybrid remote,FindUP,"
Como cientista de dados você será um dos responsáveis técnicos pelo nosso time.
Aplicação no uso de linguagens computacionais estatísticas (Python, SQL, etc.)…
Postado há 24 dias·",Sem informacao
